,,/身長体重,身長(cm),身長(cm),身長(cm),体重(kg),体重(kg),体重(kg),身長(cm),身長(cm),身長(cm),体重(kg),体重(kg),体重(kg)
時間軸(年次),年齢階級,/表章項目,人数【人】,平均値,標準偏差,人数【人】,平均値,標準偏差,人数【人】,平均値,標準偏差,人数【人】,平均値,標準偏差
2018年,22歳,,23,172.6,6.8,23,64,12,14,158.8,2.7,14,52.3,7.8
2018年,23歳,,10,169.4,6.8,10,62.8,13.9,18,159.3,6.9,17,54.6,10.5
2018年,24歳,,19,171.5,6.6,19,63.9,9.8,22,157.5,5,21,50.9,4.9
2018年,25歳,,15,173.5,5.1,15,70.3,17.9,19,160.1,7.3,18,53.3,9.1
2018年,26歳-29歳,,75,171.7,5.5,75,66,10.2,78,159.4,5.9,72,54,9.4
2018年,30歳-39歳,,268,172.1,6.1,267,71,12.3,311,158.3,5.6,295,53.4,8.5
2018年,40歳-49歳,,408,171.3,5.8,407,71.1,11,424,158.7,5.4,420,55.8,9.3
2018年,50歳-59歳,,365,170.8,5.5,363,70.4,10.8,455,157,5.3,452,55.2,9.8
2018年,60歳-69歳,,504,167.2,6.1,503,67.1,10.3,600,153.9,5.7,599,54.2,9.3
2018年,70歳以上,,687,162.7,6.3,687,62.7,9.3,829,149,6.5,832,51.3,8.8
2018年,（再掲）20歳以上,,"2,406",168,7.1,"2,401",67.3,11.1,"2,805",154.5,7,"2,775",53.5,9.3
2018年,（再掲）20歳-29歳,,174,171.7,5.9,174,65.2,11.1,186,158.7,5.7,177,53,8.8
2018年,（再掲）60歳-64歳,,210,168.4,6.3,210,69,10.3,262,155.3,5.3,261,55.1,9.9
2018年,（再掲）65歳-69歳,,294,166.4,5.8,293,65.7,10.1,338,152.9,5.7,338,53.4,8.8
2018年,（再掲）70歳-74歳,,260,164.7,5.5,259,64.4,9.1,313,151.2,5.7,313,53.5,9.2
2018年,（再掲）75歳-79歳,,218,163,6.4,218,63.3,8.7,229,150.1,5.3,229,51.7,7.9
2018年,（再掲）80歳以上,,209,160,6.3,210,59.9,9.6,287,145.8,6.8,290,48.6,8.4
2017年,総数,,"2,783",162.3,18.4,"2,778",61.9,17.6,"3,196",150.9,14.4,"3,158",50.6,12.9
2017年,1歳,,23,78.6,5.2,25,10.5,1.6,25,76.8,4.1,26,9.9,1.3
2017年,2歳,,24,89.4,3.7,24,12.8,0.9,24,87.9,4.4,25,12.2,1.5
2017年,3歳,,26,95.8,4.6,26,14.5,1.7,25,93.8,3.6,25,13.9,1.5
2017年,4歳,,37,102.3,3.9,37,15.9,1.6,23,102.8,5.3,23,16,1.5
2017年,5歳,,18,108.3,3.8,18,18,2.3,26,109.1,6,26,17.9,2.6
2017年,6歳,,21,116.9,4.6,22,21.2,3.6,23,115.3,4.5,23,20.8,2.9
2017年,7歳,,23,121.3,6.3,23,24.1,7.3,18,122,5.1,18,23.3,5.4
2017年,8歳,,26,127.7,5.5,26,27,5.1,33,126.7,4.3,32,24.7,3.1
2017年,9歳,,21,134.9,6.3,22,29.4,5.1,21,134.2,7.3,21,29.8,5.7
2017年,10歳,,26,137.4,5.4,26,34.2,6.2,21,138.3,6.7,21,31.7,5.8
2017年,11歳,,24,144.4,6.8,24,38.9,10.5,26,148.1,6.4,26,39.4,7.6
2017年,12歳,,21,150.8,5.6,21,41.5,5.9,26,149.5,6,26,41.8,9.4
2017年,13歳,,21,158,5.3,21,45.6,8.3,17,154.7,6.1,17,45.6,8.2
2017年,14歳,,22,165.4,6.4,22,53.1,6.2,28,157.4,5.9,28,49,7.3
2017年,15歳,,27,168.4,6.2,27,57.9,10.5,19,157.2,5,19,51.6,6.3
2017年,16歳,,21,170.4,6.4,20,61,9.5,25,157.7,6.1,25,50.2,4.8
2017年,17歳,,29,171.9,6.2,29,61.3,8,28,159.1,5.6,27,51.6,6.4
2017年,18歳,,17,168.9,5.7,16,63.6,15.9,26,155.5,5.3,25,51,6.4
2017年,19歳,,16,170.7,5.9,16,63,9.4,16,158,5.4,14,52.2,7
2017年,20歳,,20,171.7,4.2,20,64.4,9.6,23,154.9,6.9,23,49.9,8.8
