,,/身長体重,身長(cm),身長(cm),身長(cm),体重(kg),体重(kg),体重(kg),身長(cm),身長(cm),身長(cm),体重(kg),体重(kg),体重(kg)
時間軸(年次),年齢階級,/表章項目,人数【人】,平均値,標準偏差,人数【人】,平均値,標準偏差,人数【人】,平均値,標準偏差,人数【人】,平均値,標準偏差
2013年,（再掲）65歳-69歳,,311,165.1,6,309,64.6,9.5,390,152.2,5.4,389,52.9,8.7
2013年,（再掲）70歳-74歳,,314,163.5,5.9,315,63.2,9.1,346,150.4,5.8,345,52.4,8.3
2013年,（再掲）75歳-79歳,,244,162.2,5.8,244,61,8.3,269,148.6,5.9,267,50.8,8.9
2013年,（再掲）80歳以上,,200,160.1,6.3,201,59.1,9.7,281,145.1,6.5,286,47.6,8.5
2012年,総数,,"11,803",161.2,19.1,"11,777",60.2,17.5,"14,273",150.5,14.8,"14,142",49.6,12.8
2012年,1歳,,114,78.8,4.3,118,10.4,1,100,78.7,5.3,100,10,1.7
2012年,2歳,,113,89.1,4.9,113,12.8,1.6,107,87.3,4.4,107,12.1,1.3
2012年,3歳,,109,95.3,4,109,14.2,1.5,123,95.2,5.2,125,13.8,1.5
2012年,4歳,,130,103.2,4.3,129,16.5,2.1,114,102.3,4,114,15.8,1.8
2012年,5歳,,111,109.5,5.5,111,18.5,2.8,131,110.7,5.4,131,18.2,2.2
2012年,6歳,,122,115.9,4.6,122,20.4,2.6,118,116.3,6.3,118,20.4,3
2012年,7歳,,121,121.1,4.5,121,23.4,3.5,145,121.8,5.4,145,23.4,4.2
2012年,8歳,,116,127.3,5.8,116,26.2,3.9,141,125.6,5.7,141,24.8,4.7
2012年,9歳,,128,133.1,5.3,128,29.8,5.7,138,134,6.2,137,29.5,5.3
2012年,10歳,,130,137.5,5.9,128,32.9,5.9,126,139,6.2,125,32.5,6.4
2012年,11歳,,121,145,7.8,121,37.1,7.3,125,145.7,7.8,125,37.2,7.2
2012年,12歳,,111,149.9,7.1,111,42.2,9,131,151.1,6.3,131,43.1,8.7
2012年,13歳,,123,158.8,7.7,122,45.8,7.1,100,156.4,5.6,98,45.9,7.2
2012年,14歳,,111,164.1,7,111,51.9,9.4,97,155.3,5,94,47.2,5.1
2012年,15歳,,107,169.2,5.7,106,57.2,7.5,100,157.3,4.9,100,49,6.8
2012年,16歳,,82,169.4,5.8,82,58.1,8.9,77,158.3,5.7,75,49.1,8.2
2012年,17歳,,104,170,5.3,102,61,10.3,78,160.8,5.7,74,53.8,7.5
2012年,18歳,,76,170.6,7.8,75,61.2,12.4,68,159,5.7,64,50.9,6.4
2012年,19歳,,54,169.8,6.1,54,62.4,9.7,47,157.7,5.2,46,47.1,5.5
2012年,20歳,,76,170.9,5.2,75,64.6,10.1,68,157.8,5.6,66,51.6,6.5
2012年,21歳,,84,171.9,5.2,84,64.3,10.3,71,157.9,4.8,70,51.9,10.4
2012年,22歳,,63,171.5,6.3,63,65,9.9,72,157.4,5.1,69,51.1,8.3
2012年,23歳,,66,171.6,7.6,66,64.3,10.9,77,158.2,4.8,76,51.5,7.5
2012年,24歳,,62,171.2,3.9,62,64.9,11.1,78,157.7,6.2,78,50.6,7.3
2012年,25歳,,78,172.1,7.2,77,67.3,9.9,62,159.6,4.8,59,54.5,10.1
2012年,26歳-29歳,,334,171.6,5.9,333,66.5,10.7,435,157.8,5.5,401,52,9.3
2012年,30歳-39歳,,"1,334",171.2,5.8,"1,328",69.2,12,"1,634",158.4,5.3,"1,573",53.5,8.8
2012年,40歳-49歳,,"1,403",170.9,6,"1,399",70.5,11,"1,751",157.9,5,"1,738",54.7,9.1
2012年,50歳-59歳,,"1,437",168.6,5.7,"1,431",68,10.2,"1,939",156.1,5.3,"1,935",55.2,9.2
2012年,60歳-69歳,,"2,273",165.5,6.1,"2,268",64.7,9.3,"2,778",152.8,5.3,"2,775",53.2,8.6
2012年,70歳以上,,"2,510",162.1,6.3,"2,512",61.4,9.2,"3,242",148.2,6.3,"3,252",50.3,8.5
2012年,（再掲）20歳以上,,"9,720",167.3,7,"9,698",66,10.8,"12,207",154.2,6.8,"12,092",53,9
2012年,（再掲）20歳-29歳,,763,171.6,5.9,760,65.7,10.5,863,157.9,5.4,819,51.8,8.8
2012年,（再掲）60歳-64歳,,"1,217",166.5,5.7,"1,215",65.1,9.5,"1,484",153.5,5.3,"1,483",53.5,8.9
2012年,（再掲）65歳-69歳,,"1,056",164.4,6.3,"1,053",64.2,9.2,"1,294",152.1,5.2,"1,292",52.8,8.2
2012年,（再掲）70歳-74歳,,"1,012",163.3,5.7,"1,012",62.4,9,"1,222",149.9,5.4,"1,222",51.8,8
2012年,（再掲）75歳-79歳,,812,162.5,5.9,811,62.3,8.7,962,148.9,5.7,961,51.3,8.5
2012年,（再掲）80歳以上,,686,159.8,6.7,689,58.7,9.6,"1,058",145.3,6.8,"1,069",47.3,8.6
2011年,総数,,"3,134",161.7,17.9,"3,722",60.8,17.1,"3,129",150.5,13.9,"3,690",50,12.5
2011年,1歳,,20,81,4.5,20,11.2,1.6,27,80.6,7.7,27,10.2,1
2011年,2歳,,37,89.8,8,37,12.7,1.3,21,86.5,6,21,11.9,1.4
2011年,3歳,,16,96.6,4.2,16,14.5,1.9,27,94,4,26,14,1.7
2011年,4歳,,34,104.1,5.3,34,16.6,2.3,27,103.2,5.1,27,16,1.6
2011年,5歳,,19,108.7,4.5,19,17.8,1.5,22,110.9,4.9,22,19.6,3
2011年,6歳,,30,116.2,4.5,30,20.9,2.7,24,115.7,4.8,24,20.2,2.1
2011年,7歳,,25,121,5.4,25,23.6,4.2,39,120.5,4.5,39,22.6,2.7
2011年,8歳,,31,127.8,5.5,31,26.9,4.9,40,127.7,5.9,40,26.1,5.9
2011年,9歳,,43,132,6.2,43,28.4,5,38,133.2,7,38,29.4,6.5
2011年,10歳,,42,139.2,6.4,42,34.5,7.1,26,140.5,6.5,26,35.9,8.3
2011年,11歳,,32,145.3,5.5,32,38.2,7.2,42,143.5,7.4,42,35,5.9
2011年,12歳,,30,150.6,8.2,30,42,8.6,36,152.7,8.1,36,42.4,8.4
2011年,13歳,,28,159.4,6.3,28,48.2,6.6,28,153.4,6.2,28,44.5,6.5
2011年,14歳,,24,164.5,6,24,52.8,11.7,22,154.1,6.1,22,44.3,6.1
2011年,15歳,,31,170.7,5,31,58.8,8.9,27,157.4,5.2,27,50.1,7
2011年,16歳,,37,169.5,5.9,37,59.7,9.2,32,157.3,4.8,32,53,9
2011年,17歳,,28,170.5,6,28,61.9,10.9,34,157.4,5.3,32,50.4,5.7
2011年,18歳,,20,171.1,7.4,18,66.3,15.6,33,157.1,4.8,33,51.3,6.2
2011年,19歳,,19,170.7,4.8,19,63.9,14.8,16,157,4.6,16,51.2,5.5
2011年,20歳,,26,168.7,5.2,26,64.6,13.5,23,157.7,5.5,23,52.4,8.4
2011年,21歳,,18,170.2,6.1,18,62.6,11.3,22,157.5,8.6,21,55.2,14.5
2011年,22歳,,20,170.4,5.2,20,66.2,14.6,24,159,5.4,24,51.4,5.3
2011年,23歳,,20,170.2,5.8,20,65.5,9.9,23,156,4.7,23,50.2,10
2011年,24歳,,20,170.4,5.1,20,62.6,8.1,31,158.5,5,31,49.9,5.8
2011年,25歳,,15,169.7,5.2,15,67.5,16.6,19,159.1,5.8,18,53,11.5
2011年,26歳-29歳,,86,172.6,6.6,84,68.9,13.2,122,157.4,5,116,51.9,8.9
2011年,30歳-39歳,,374,171.5,5.8,371,70,11.9,446,158.1,5.3,426,53.9,8.9
2011年,40歳-49歳,,368,169.7,6.1,368,69.6,11.3,451,158,5.1,448,55.9,9.5
2011年,50歳-59歳,,431,168.8,6,432,68.5,10.9,486,155.4,5.2,485,54.9,9.3
2011年,60歳-69歳,,542,165.7,5.7,542,65.2,9.3,668,152.9,5.2,668,53.4,8.6
2011年,70歳以上,,668,161.4,6.7,669,60.4,9.3,846,147.4,6.5,849,49.7,8.5
2011年,（再掲）20歳以上,,"2,588",166.9,7.2,"2,585",65.9,11.2,"3,161",153.7,7,"3,132",52.9,9.2
2011年,（再掲）20歳-29歳,,205,171,6.1,203,66.5,12.9,264,157.7,5.5,256,51.9,9.2
2011年,（再掲）60歳-64歳,,300,166.5,5.5,300,65.8,9.5,368,153.8,5.1,368,53.5,8.1
2011年,（再掲）65歳-69歳,,242,164.6,5.6,242,64.4,9.2,300,151.8,5.1,300,53.2,9.2
2011年,（再掲）70歳-74歳,,257,163.2,6.5,257,62.5,8.4,305,149.6,5.5,305,51.8,8
2011年,（再掲）75歳-79歳,,212,160.9,6.1,212,60.8,9.3,247,148.1,6.1,248,51.1,8.2
2011年,（再掲）80歳以上,,199,159.4,6.9,200,57.2,9.5,294,144.4,6.7,296,46.3,8.2
2010年,総数,,"3,232",163.9,12.4,"3,219",62,14.8,"3,861",152.5,9,"3,826",51.3,10.6
2010年,1歳,,－,－,－,－,－,－,－,－,－,－,－,－
2010年,2歳,,－,－,－,－,－,－,－,－,－,－,－,－
2010年,3歳,,－,－,－,－,－,－,－,－,－,－,－,－
2010年,4歳,,－,－,－,－,－,－,－,－,－,－,－,－
2010年,5歳,,－,－,－,－,－,－,－,－,－,－,－,－
2010年,6歳,,42,117.1,5.2,42,20.9,2.7,38,115.1,4,38,20.1,2.4
2010年,7歳,,44,120.8,6.2,43,23.6,4.5,34,121.8,5.2,34,23.5,3.6
2010年,8歳,,38,129.4,6.1,38,27.2,4.3,38,128.4,5.9,38,26.5,4.4
2010年,9歳,,37,132.7,5.5,37,30.8,7.4,39,135.2,5.9,38,30.8,6.7
2010年,10歳,,46,138.5,5.8,46,32.9,6.9,36,139.2,7.4,36,33.1,6.4
2010年,11歳,,42,143.8,6.9,42,36.2,6.8,41,145.3,6.3,41,36.8,6.7
2010年,12歳,,32,151.9,7.7,32,44.5,12.9,28,150.8,5.8,28,40.8,7.8
2010年,13歳,,30,159.6,10.1,30,46.9,10.3,29,155.7,4.6,29,46.2,7.1
2010年,14歳,,32,164.4,6.6,32,52.6,9.1,31,156.1,4.9,31,48.4,5.8
2010年,15歳,,35,169,5.8,35,56.7,10.7,39,156.6,5.5,39,51,7.6
2010年,16歳,,39,168.5,5.8,39,57.7,9.2,28,158,4.1,27,51,7.2
2010年,17歳,,33,170.9,5.1,32,60.9,8.1,34,158,4.9,33,51.9,6
2010年,18歳,,19,172.5,4.8,19,62.5,13.4,26,157.7,5.5,26,56.3,12.8
2010年,19歳,,20,169,5.7,20,59.4,8.3,21,159.2,5.1,21,55.2,9.9
2010年,20歳,,21,171,6.3,21,61.8,13.2,20,159.5,7.5,20,55,14.1
2010年,21歳,,16,170.2,5.7,16,60.7,8.6,23,156.7,3.7,22,49.4,6.5
2010年,22歳,,19,170.1,6.1,18,69.5,13.4,22,157.2,6,20,50.3,7.4
2010年,23歳,,22,171.9,5.3,22,65.7,12.2,21,154.8,4.7,21,48.4,7.6
2010年,24歳,,23,171.5,5.6,23,62.9,10.5,34,159.1,4.7,33,49.8,8.8
2010年,25歳,,19,169.6,6.9,19,63.5,10.3,25,157.7,5.1,25,50.2,6.8
2010年,26歳-29歳,,98,170.4,6.2,96,66.5,12.3,114,158.7,5.4,111,51.8,9
2010年,30歳-39歳,,387,171.5,6.1,385,69.6,11.7,486,158.3,5.3,465,54,9.2
2010年,40歳-49歳,,397,170.6,5.8,395,70.4,11.6,489,157.8,5.2,487,54.7,9.3
2010年,50歳-59歳,,453,168,6.1,451,68.2,10.4,567,155.2,5.4,564,54.1,8.6
2010年,60歳-69歳,,650,165.3,6.1,649,64.6,9.1,765,151.8,5.5,763,53.4,8.3
2010年,70歳以上,,638,160.9,6.3,637,59.9,9.4,833,147.7,6.2,836,50.4,8.8
2010年,（再掲）20歳以上,,"2,743",166.8,7.2,"2,732",65.7,11.1,"3,399",153.6,6.9,"3,367",52.9,9
2010年,（再掲）20歳-29歳,,218,170.6,6,215,65.1,12,259,158.1,5.4,252,51,9
2010年,（再掲）60歳-64歳,,335,166.4,6.2,334,65.7,9.2,377,152.7,5.5,376,54.2,8.7
2010年,（再掲）65歳-69歳,,315,164.1,5.8,315,63.4,8.7,388,150.9,5.3,387,52.6,7.9
2010年,（再掲）70歳-74歳,,261,162.8,6.2,260,62.3,9.5,316,149.9,5.4,316,52.2,8.7
2010年,（再掲）75歳-79歳,,190,160.2,5.8,190,59.5,9.2,251,147.1,6,251,50.5,8.5
2010年,（再掲）80歳以上,,187,159.1,6.3,187,56.9,8.4,266,145.6,6.5,269,48.1,8.8
